data_status,device_ms,condition,support_level,fsr_raw_adc,discomfort_nrs,safety_symptom_flag,user_continues,task_phase
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000320,C,1,1307.990069555218,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000340,C,1,1308.118475137103,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000360,C,1,1308.2467653374858,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000380,C,1,1308.374938333079,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000400,C,1,1308.5029923022605,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000420,C,1,1308.6309254251,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000440,C,1,1308.7587358833846,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000460,C,1,1308.8864218606448,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000480,C,1,1309.01398154218,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000500,C,1,1309.1414131150855,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000520,C,1,1309.2687147682757,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000540,C,1,1309.3958846925127,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000560,C,1,1309.5229210804305,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000580,C,1,1309.6498221265606,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000600,C,1,1309.7765860273585,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000620,C,1,1309.9032109812283,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000640,C,1,1310.029695188549,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000660,C,1,1310.1560368517007,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000680,C,1,1310.2822341750882,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000700,C,1,1310.4082853651682,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000720,C,1,1310.5341886304745,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000740,C,1,1310.6599421816427,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000760,C,1,1310.785544231437,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000780,C,1,1310.9109929947736,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000800,C,1,1311.0362866887483,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000820,C,1,1311.1614235326601,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000840,C,1,1311.2864017480379,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000860,C,1,1311.4112195586642,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000880,C,1,1311.5358751906017,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000900,C,1,1311.6603668722182,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000920,C,1,1311.784692834211,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000940,C,1,1311.9088513096333,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000960,C,1,1312.032840533918,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1000980,C,1,1312.1566587449042,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001000,C,1,1312.2803041828606,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001020,C,1,1312.4037750905122,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001040,C,1,1312.5270697130638,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001060,C,1,1312.6501862982261,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001080,C,1,1312.77312309624,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001100,C,1,1312.8958783599012,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001120,C,1,1313.0184503445857,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001140,C,1,1313.1408373082745,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001160,C,1,1313.2630375115777,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001180,C,1,1313.3850492177603,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001200,C,1,1313.5068706927655,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001220,C,1,1313.6285002052407,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001240,C,1,1313.749936026561,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001260,C,1,1313.871176430855,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001280,C,1,1313.992219695028,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001300,C,1,1314.1130640987874,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001320,C,1,1314.2337079246665,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001340,C,1,1314.3541494580495,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001360,C,1,1314.4743869871959,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001380,C,1,1314.5944188032638,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001400,C,1,1314.7142432003359,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001420,C,1,1314.833858475442,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001440,C,1,1314.9532629285843,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001460,C,1,1315.0724548627613,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001480,C,1,1315.1914325839919,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001500,C,1,1315.310194401339,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001520,C,1,1315.4287386269345,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001540,C,1,1315.5470635760025,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001560,C,1,1315.6651675668836,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001580,C,1,1315.7830489210587,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001600,C,1,1315.9007059631726,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001620,C,1,1316.0181370210585,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001640,C,1,1316.1353404257611,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001660,C,1,1316.2523145115608,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001680,C,1,1316.3690576159966,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001700,C,1,1316.4855680798905,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001720,C,1,1316.6018442473712,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001740,C,1,1316.717884465897,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001760,C,1,1316.8336870862793,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001780,C,1,1316.9492504627067,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001800,C,1,1317.0645729527678,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001820,C,1,1317.1796529174746,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001840,C,1,1317.2944887212861,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001860,C,1,1317.4090787321318,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001880,C,1,1317.5234213214333,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001900,C,1,1317.6375148641298,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001920,C,1,1317.7513577386992,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001940,C,1,1317.8649483271824,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001960,C,1,1317.978285015206,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1001980,C,1,1318.0913661920042,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002000,C,1,1318.2041902504436,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002020,C,1,1318.3167555870446,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002040,C,1,1318.4290606020043,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002060,C,1,1318.54110369922,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002080,C,1,1318.6528832863114,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002100,C,1,1318.764397774643,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002120,C,1,1318.875645579347,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002140,C,1,1318.9866251193462,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002160,C,1,1319.0973348173752,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002180,C,1,1319.2077731000047,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002200,C,1,1319.3179383976617,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002220,C,1,1319.427829144654,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002240,C,1,1319.5374437791902,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002260,C,1,1319.6467807434042,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002280,C,1,1319.7558384833758,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002300,C,1,1319.8646154491526,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002320,C,1,1319.9731100947736,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002340,C,1,1320.0813208782895,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002360,C,1,1320.1892462617857,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002380,C,1,1320.2968847114034,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002400,C,1,1320.404234697362,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002420,C,1,1320.511294693981,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002440,C,1,1320.6180631797001,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002460,C,1,1320.7245386371035,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002480,C,1,1320.830719552939,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002500,C,1,1320.9366044181406,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002520,C,1,1321.0421917278504,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002540,C,1,1321.1474799814384,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002560,C,1,1321.252467682526,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002580,C,1,1321.3571533390054,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002600,C,1,1321.4615354630616,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002620,C,1,1321.565612571194,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002640,C,1,1321.6693831842356,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002660,C,1,1321.7728458273773,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002680,C,1,1321.875999030185,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002700,C,1,1321.9788413266244,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002720,C,1,1322.081371255078,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002740,C,1,1322.1835873583689,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002760,C,1,1322.2854881837798,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002780,C,1,1322.3870722830745,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002800,C,1,1322.4883382125186,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002820,C,1,1322.589284532898,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002840,C,1,1322.6899098095432,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002860,C,1,1322.7902126123456,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002880,C,1,1322.8901915157805,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002900,C,1,1322.9898450989265,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002920,C,1,1323.0891719454855,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002940,C,1,1323.188170643803,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002960,C,1,1323.2868397868885,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1002980,C,1,1323.3851779724353,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003000,C,1,1323.48318380284,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003020,C,1,1323.5808558852223,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003040,C,1,1323.6781928314463,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003060,C,1,1323.7751932581384,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003080,C,1,1323.8718557867078,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003100,C,1,1323.9681790433658,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003120,C,1,1324.064161659146,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003140,C,1,1324.1598022699231,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003160,C,1,1324.255099516432,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003180,C,1,1324.3500520442878,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003200,C,1,1324.4446585040052,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003220,C,1,1324.5389175510168,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003240,C,1,1324.632827845693,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003260,C,1,1324.7263880533608,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003280,C,1,1324.8195968443222,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003300,C,1,1324.9124528938742,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003320,C,1,1325.0049548823267,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003340,C,1,1325.0971014950217,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003360,C,1,1325.1888914223518,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003380,C,1,1325.2803233597792,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003400,C,1,1325.3713960078535,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003420,C,1,1325.4621080722309,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003440,C,1,1325.5524582636917,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003460,C,1,1325.6424452981605,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003480,C,1,1325.7320678967217,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003500,C,1,1325.8213247856402,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003520,C,1,1325.9102146963776,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003540,C,1,1325.9987363656119,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003560,C,1,1326.0868885352543,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003580,C,1,1326.174669952467,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003600,C,1,1326.2620793696817,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003620,C,1,1326.3491155446175,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003640,C,1,1326.4357772402975,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003660,C,1,1326.522063225067,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003680,C,1,1326.6079722726117,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003700,C,1,1326.6935031619732,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003720,C,1,1326.7786546775687,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003740,C,1,1326.8634256092066,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003760,C,1,1326.947814752104,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003780,C,1,1327.031820906905,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003800,C,1,1327.1154428796956,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003820,C,1,1327.1986794820227,1.0,0,1,typing
SYNTHETIC DEMONSTRATION ONLY - NOT HUMAN EXPERIMENT RESULTS,1003840,C,1,1327.2815295309101,1.0,0,1,typing
